issue_id,issue_name,country_code,language,youtube_video_id,title,channel_name,channel_id,published_at,curation_reason,stance_hint,frame_hint,backup_rank
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,KR,ko,oXGuVFiqwBk,중국이 발칵 뒤집힐 트럼프의 한마디 #테크뉴스 #mannalab,mannalab,UCFALiyLbTW8pG7lU7xrxbDQ,2026-05-22T06:09:03Z,분석 성공 확인된 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,aHiXzpo5BTk,川普證實將與賴清德通話! 透露會處理「台灣問題」｜TVBS新聞@TVBSNEWS01,TVBS NEWS,UC5nwNW4KdC0SzrhF9BXEYOQ,2026-05-21T02:05:03Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 영상,,Trump-Taiwan-China conflict,
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,oRXmgAzuowc,트럼프 천단 방문과 시진핑 대만 문제 논의 여부 보도,鏡新聞,UC4LjkybVKXCDlneVXlKAbmw,2026-05-14T05:30:21Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,1
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,RyU9yit1RQ4,트럼프 대통령의 대만 해협 관련 인터뷰와 협상 카드 발언,二爷故事,UCapPWG_ppEuYvelriReTcOA,2026-05-16T19:56:41Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,2
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,u3NbtfQoVbY,트럼프 에어포스 원 인터뷰와 대만 관련 약속 논란,TVBS NEWS,UC5nwNW4KdC0SzrhF9BXEYOQ,2026-05-16T11:59:40Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,3
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,gGnK-6CcCMk,"트럼프 대통령, 미국 귀국 후 대만 독립은 위험하다고 발언",王志安,UCBKDRq35-L8xev4O7ZqBeLg,2026-05-17T13:26:03Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,4
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,OyXANCqY3hE,트럼프가 시진핑의 대만 관련 질문을 거부했다는 보도,有趣的V,UCx6R0JeHRx61dAc6CCSoibA,2026-05-16T01:25:13Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,5
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,sSdnbMbCK5Y,기자들이 트럼프에게 시진핑과 대만 논의 여부를 질문한 보도,有趣的V,UCx6R0JeHRx61dAc6CCSoibA,2026-05-14T06:16:34Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,6
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,xzPivhBgyvE,트럼프가 베이징 이후 대만과 무기 판매 문제를 언급한 보도,中時新聞網,UCmdVfsLHu18lCkKYXSOGUxg,2026-05-16T11:45:12Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,7
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,QYMLxrvREYA,"트럼프, 대만 독립에 대해 경고한 중국어권 보도",中国新闻社,UCpbfXQsYBJTwq5lCkwGIeuQ,2026-05-17T04:00:35Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,8
trump_taiwan_2026_demo,트럼프-대만/미중 갈등,CN,zh,WcKBbqbGq4I,트럼프가 대만 무기 판매와 대만 문제 담당자 소통을 언급한 보도,DW 中文 - 德國之聲,UC99XkAM3Y82ONvdpwUYmOZg,2026-05-15T13:33:01Z,분석 성공 확인된 중화권 트럼프-대만 군사/외교 쟁점 백업 영상,,Trump-Taiwan-China conflict,9
